main_type,component,behavior,condition,test_name,owner,tool,metric,evidence
Governance Policy & Framework,policy_engine,defines_policy,during_commit,test_governance_compliance__governance_policy_and_framework__policy_engine__defines_policy__during_commit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,defines_policy,before_merge,test_governance_compliance__governance_policy_and_framework__policy_engine__defines_policy__before_merge,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,defines_policy,after_deploy,test_governance_compliance__governance_policy_and_framework__policy_engine__defines_policy__after_deploy,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,defines_policy,quarterly_audit,test_governance_compliance__governance_policy_and_framework__policy_engine__defines_policy__quarterly_audit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,defines_policy,on_incident,test_governance_compliance__governance_policy_and_framework__policy_engine__defines_policy__on_incident,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,defines_policy,on_request,test_governance_compliance__governance_policy_and_framework__policy_engine__defines_policy__on_request,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,approves_change,during_commit,test_governance_compliance__governance_policy_and_framework__policy_engine__approves_change__during_commit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,approves_change,before_merge,test_governance_compliance__governance_policy_and_framework__policy_engine__approves_change__before_merge,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,approves_change,after_deploy,test_governance_compliance__governance_policy_and_framework__policy_engine__approves_change__after_deploy,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,approves_change,quarterly_audit,test_governance_compliance__governance_policy_and_framework__policy_engine__approves_change__quarterly_audit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
