id,category,variant_name,type,pattern,scenario,impact,example
1,Smart Contract,Smart Contract Variant 1,Missing guard,Input not validated,Smart Contract variant #1: Missing guard caused by Input not validated. Exploited to user fund loss.,User fund loss,Signature not validated allows bypass.
2,Smart Contract,Smart Contract Variant 2,Race issue,State not checked,Smart Contract variant #2: Race issue caused by State not checked. Exploited to protocol halt.,Protocol halt,Signature not validated allows bypass.
3,Smart Contract,Smart Contract Variant 3,Logic flaw,Missing boundary check,Smart Contract variant #3: Logic flaw caused by Missing boundary check. Exploited to cross-chain risk.,Cross-chain risk,Unexpected state allowed malicious call.
4,Smart Contract,Smart Contract Variant 4,Race issue,Missing boundary check,Smart Contract variant #4: Race issue caused by Missing boundary check. Exploited to loss of funds.,Loss of funds,Attacker exploits missing check in flow.
5,Smart Contract,Smart Contract Variant 5,Incorrect assumption,State not checked,Smart Contract variant #5: Incorrect assumption caused by State not checked. Exploited to loss of funds.,Loss of funds,Protocol miscalculates values under edge case.
6,Smart Contract,Smart Contract Variant 6,Unexpected state,Wrong assumption,Smart Contract variant #6: Unexpected state caused by Wrong assumption. Exploited to loss of funds.,Loss of funds,Signature not validated allows bypass.
7,Smart Contract,Smart Contract Variant 7,Unexpected state,Incorrect signature,Smart Contract variant #7: Unexpected state caused by Incorrect signature. Exploited to unauthorized access.,Unauthorized access,Unexpected state allowed malicious call.
8,Smart Contract,Smart Contract Variant 8,Race issue,Incorrect signature,Smart Contract variant #8: Race issue caused by Incorrect signature. Exploited to loss of funds.,Loss of funds,Unexpected state allowed malicious call.
9,Smart Contract,Smart Contract Variant 9,Unexpected state,Incorrect signature,Smart Contract variant #9: Unexpected state caused by Incorrect signature. Exploited to unauthorized access.,Unauthorized access,Unexpected state allowed malicious call.
10,Smart Contract,Smart Contract Variant 10,Unexpected state,Missing boundary check,Smart Contract variant #10: Unexpected state caused by Missing boundary check. Exploited to protocol halt.,Protocol halt,Attacker exploits missing check in flow.
11,Smart Contract,Smart Contract Variant 11,Race issue,Missing boundary check,Smart Contract variant #11: Race issue caused by Missing boundary check. Exploited to unauthorized access.,Unauthorized access,Unexpected state allowed malicious call.
12,Smart Contract,Smart Contract Variant 12,Logic flaw,Invalid state transition,Smart Contract variant #12: Logic flaw caused by Invalid state transition. Exploited to data corruption.,Data corruption,Protocol miscalculates values under edge case.
