id,category,variant_name,type,pattern,scenario,impact,example
1,SPV proof bypass,SPV proof bypass Variant 1,Fake proof injection,Header fields not validated,SPV proof bypass variant #1: Fake proof injection caused by Header fields not validated. Exploited to unauthorized mint/burn.,Unauthorized mint/burn,Bridge accepts manipulated block header with fake receipts.
2,SPV proof bypass,SPV proof bypass Variant 2,Missing block height validation,Proof verification lacks boundary checks,SPV proof bypass variant #2: Missing block height validation caused by Proof verification lacks boundary checks. Exploited to unauthorized mint/burn.,Unauthorized mint/burn,Bridge accepts manipulated block header with fake receipts.
3,SPV proof bypass,SPV proof bypass Variant 3,Fake proof injection,Bridge accepts incomplete Merkle branches,SPV proof bypass variant #3: Fake proof injection caused by Bridge accepts incomplete Merkle branches. Exploited to forged cross-chain message.,Forged cross-chain message,Bridge accepts manipulated block header with fake receipts.
4,SPV proof bypass,SPV proof bypass Variant 4,Weak Merkle proof check,Incorrect hashing order,SPV proof bypass variant #4: Weak Merkle proof check caused by Incorrect hashing order. Exploited to unauthorized mint/burn.,Unauthorized mint/burn,Attacker crafts fake SPV proof to mint wrapped tokens.
5,SPV proof bypass,SPV proof bypass Variant 5,Incorrect header validation,Proof verification lacks boundary checks,SPV proof bypass variant #5: Incorrect header validation caused by Proof verification lacks boundary checks. Exploited to forged cross-chain message.,Forged cross-chain message,Bridge accepts manipulated block header with fake receipts.
6,SPV proof bypass,SPV proof bypass Variant 6,Incorrect header validation,Proof verification lacks boundary checks,SPV proof bypass variant #6: Incorrect header validation caused by Proof verification lacks boundary checks. Exploited to fake withdrawal.,Fake withdrawal,Bridge accepts manipulated block header with fake receipts.
7,SPV proof bypass,SPV proof bypass Variant 7,Bypassable commitment check,Proof verification lacks boundary checks,SPV proof bypass variant #7: Bypassable commitment check caused by Proof verification lacks boundary checks. Exploited to unauthorized mint/burn.,Unauthorized mint/burn,Attacker crafts fake SPV proof to mint wrapped tokens.
8,SPV proof bypass,SPV proof bypass Variant 8,Weak Merkle proof check,Header fields not validated,SPV proof bypass variant #8: Weak Merkle proof check caused by Header fields not validated. Exploited to unauthorized mint/burn.,Unauthorized mint/burn,Bridge accepts manipulated block header with fake receipts.
9,SPV proof bypass,SPV proof bypass Variant 9,Weak Merkle proof check,Header fields not validated,SPV proof bypass variant #9: Weak Merkle proof check caused by Header fields not validated. Exploited to fake withdrawal.,Fake withdrawal,Bridge accepts manipulated block header with fake receipts.
10,SPV proof bypass,SPV proof bypass Variant 10,Incorrect header validation,Header fields not validated,SPV proof bypass variant #10: Incorrect header validation caused by Header fields not validated. Exploited to fake withdrawal.,Fake withdrawal,Attacker crafts fake SPV proof to mint wrapped tokens.
