id,variant_name,type,pattern,scenario,impact,example
1,Reentrancy Variant 1,Read-only reentrancy,External call inside loop,Variant #1: Read-only reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Inflated share minting,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
2,Reentrancy Variant 2,Pull-payment reentrancy,Hooks triggered without control flow guard,Variant #2: Pull-payment reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Inflated share minting,Cross-function: deposit() sets state after external token transfer().
3,Reentrancy Variant 3,Pull-payment reentrancy,Recursive callback before mutation,Variant #3: Pull-payment reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Complete balance drain,Cross-function: deposit() sets state after external token transfer().
4,Reentrancy Variant 4,Cross-contract reentrancy,State updated after external call,Variant #4: Cross-contract reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Bypassing access restrictions,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
5,Reentrancy Variant 5,Single-function reentrancy,Multiple entry points sharing same state variable,Variant #5: Single-function reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Complete balance drain,Vault updates shares after sending tokens to attacker contract.
6,Reentrancy Variant 6,Reentrancy via delegatecall,Unsafe external call to attacker contract,Variant #6: Reentrancy via delegatecall caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Complete balance drain,Vault updates shares after sending tokens to attacker contract.
7,Reentrancy Variant 7,ERC777-hook reentrancy,External call inside loop,Variant #7: ERC777-hook reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Token supply manipulation,Cross-function: deposit() sets state after external token transfer().
8,Reentrancy Variant 8,Cross-function reentrancy,Multiple entry points sharing same state variable,Variant #8: Cross-function reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Bypassing access restrictions,Cross-function: deposit() sets state after external token transfer().
9,Reentrancy Variant 9,Read-only reentrancy,External call inside loop,Variant #9: Read-only reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Draining rewards pool,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
10,Reentrancy Variant 10,Cross-contract reentrancy,External call inside loop,Variant #10: Cross-contract reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Token supply manipulation,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
11,Reentrancy Variant 11,Read-only reentrancy,External call inside loop,Variant #11: Read-only reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Vault updates shares after sending tokens to attacker contract.
12,Reentrancy Variant 12,Withdraw-before-update reentrancy,State updated after external call,Variant #12: Withdraw-before-update reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Bypassing access restrictions,Cross-function: deposit() sets state after external token transfer().
13,Reentrancy Variant 13,Pull-payment reentrancy,Fallback invoked before state lock,Variant #13: Pull-payment reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Vault updates shares after sending tokens to attacker contract.
14,Reentrancy Variant 14,Recursive fallback reentrancy,State updated after external call,Variant #14: Recursive fallback reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Attacker leverages ERC777 tokens to reenter before balance is updated.
15,Reentrancy Variant 15,Pull-payment reentrancy,Upgradeable proxy storage collision,Variant #15: Pull-payment reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Bypassing access restrictions,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
16,Reentrancy Variant 16,Single-function reentrancy,Recursive callback before mutation,Variant #16: Single-function reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Draining rewards pool,Cross-function: deposit() sets state after external token transfer().
17,Reentrancy Variant 17,Cross-function reentrancy,Upgradeable proxy storage collision,Variant #17: Cross-function reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Draining rewards pool,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
18,Reentrancy Variant 18,Reentrancy via delegatecall,Upgradeable proxy storage collision,Variant #18: Reentrancy via delegatecall caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Complete balance drain,Attacker leverages ERC777 tokens to reenter before balance is updated.
19,Reentrancy Variant 19,State-dependent reentrancy,Missing reentrancy guard,Variant #19: State-dependent reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Inflated share minting,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
20,Reentrancy Variant 20,Single-function reentrancy,Recursive callback before mutation,Variant #20: Single-function reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Bypassing access restrictions,Attacker leverages ERC777 tokens to reenter before balance is updated.
21,Reentrancy Variant 21,Cross-contract reentrancy,Recursive callback before mutation,Variant #21: Cross-contract reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Inflated share minting,Cross-function: deposit() sets state after external token transfer().
22,Reentrancy Variant 22,State-dependent reentrancy,External call inside loop,Variant #22: State-dependent reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Attacker leverages ERC777 tokens to reenter before balance is updated.
23,Reentrancy Variant 23,ERC777-hook reentrancy,Balance checked after transfer,Variant #23: ERC777-hook reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Vault updates shares after sending tokens to attacker contract.
24,Reentrancy Variant 24,ERC777-hook reentrancy,Upgradeable proxy storage collision,Variant #24: ERC777-hook reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Inflated share minting,Cross-function: deposit() sets state after external token transfer().
25,Reentrancy Variant 25,Withdraw-before-update reentrancy,Multiple entry points sharing same state variable,Variant #25: Withdraw-before-update reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Inflated share minting,Cross-function: deposit() sets state after external token transfer().
26,Reentrancy Variant 26,Read-only reentrancy,Missing reentrancy guard,Variant #26: Read-only reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Inflated share minting,Cross-function: deposit() sets state after external token transfer().
27,Reentrancy Variant 27,ERC777-hook reentrancy,Upgradeable proxy storage collision,Variant #27: ERC777-hook reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Bypassing access restrictions,Attacker leverages ERC777 tokens to reenter before balance is updated.
28,Reentrancy Variant 28,Withdraw-before-update reentrancy,Upgradeable proxy storage collision,Variant #28: Withdraw-before-update reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
29,Reentrancy Variant 29,Reentrancy via delegatecall,External call inside loop,Variant #29: Reentrancy via delegatecall caused by External call inside loop. Attacker reenters contract flow before state update.,Draining rewards pool,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
30,Reentrancy Variant 30,Reentrancy via delegatecall,Missing reentrancy guard,Variant #30: Reentrancy via delegatecall caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Attacker leverages ERC777 tokens to reenter before balance is updated.
31,Reentrancy Variant 31,Cross-contract reentrancy,Multiple entry points sharing same state variable,Variant #31: Cross-contract reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Complete balance drain,Vault updates shares after sending tokens to attacker contract.
32,Reentrancy Variant 32,Recursive fallback reentrancy,Balance checked after transfer,Variant #32: Recursive fallback reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Cross-function: deposit() sets state after external token transfer().
33,Reentrancy Variant 33,Read-only reentrancy,Recursive callback before mutation,Variant #33: Read-only reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Bypassing access restrictions,Cross-function: deposit() sets state after external token transfer().
34,Reentrancy Variant 34,Cross-contract reentrancy,Balance checked after transfer,Variant #34: Cross-contract reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Inflated share minting,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
35,Reentrancy Variant 35,Cross-function reentrancy,Unsafe external call to attacker contract,Variant #35: Cross-function reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Vault updates shares after sending tokens to attacker contract.
36,Reentrancy Variant 36,Recursive fallback reentrancy,Multiple entry points sharing same state variable,Variant #36: Recursive fallback reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Inflated share minting,Attacker leverages ERC777 tokens to reenter before balance is updated.
