id,category,variant_name,type,pattern,scenario,impact,example
1,Governance capture,Governance capture Variant 1,Whale proposal hijack,Flash-loan voting not blocked,Governance capture variant #1: Whale proposal hijack resulting from Flash-loan voting not blocked. Exploited to hostile takeover of governance.,Hostile takeover of governance,Borrowing tokens via flash-loan to pass proposal.
2,Governance capture,Governance capture Variant 2,Token voting dominance,Flash-loan voting not blocked,Governance capture variant #2: Token voting dominance resulting from Flash-loan voting not blocked. Exploited to forced malicious proposals.,Forced malicious proposals,Borrowing tokens via flash-loan to pass proposal.
3,Governance capture,Governance capture Variant 3,Borrowed voting power,Governance relies on raw token balance,Governance capture variant #3: Borrowed voting power resulting from Governance relies on raw token balance. Exploited to hostile takeover of governance.,Hostile takeover of governance,Dominant whale forces upgrade to malicious contract.
4,Governance capture,Governance capture Variant 4,Delegation abuse,Delegates can re-route votes without limit,Governance capture variant #4: Delegation abuse resulting from Delegates can re-route votes without limit. Exploited to forced malicious proposals.,Forced malicious proposals,Dominant whale forces upgrade to malicious contract.
5,Governance capture,Governance capture Variant 5,Token voting dominance,No snapshot mechanism,Governance capture variant #5: Token voting dominance resulting from No snapshot mechanism. Exploited to attacker controls protocol.,Attacker controls protocol,Dominant whale forces upgrade to malicious contract.
6,Governance capture,Governance capture Variant 6,Whale proposal hijack,Flash-loan voting not blocked,Governance capture variant #6: Whale proposal hijack resulting from Flash-loan voting not blocked. Exploited to attacker controls protocol.,Attacker controls protocol,Borrowing tokens via flash-loan to pass proposal.
7,Governance capture,Governance capture Variant 7,Whale proposal hijack,Delegates can re-route votes without limit,Governance capture variant #7: Whale proposal hijack resulting from Delegates can re-route votes without limit. Exploited to hostile takeover of governance.,Hostile takeover of governance,Dominant whale forces upgrade to malicious contract.
8,Governance capture,Governance capture Variant 8,Flash-loan governance attack,No snapshot mechanism,Governance capture variant #8: Flash-loan governance attack resulting from No snapshot mechanism. Exploited to hostile takeover of governance.,Hostile takeover of governance,Borrowing tokens via flash-loan to pass proposal.
9,Governance capture,Governance capture Variant 9,Token voting dominance,Delegates can re-route votes without limit,Governance capture variant #9: Token voting dominance resulting from Delegates can re-route votes without limit. Exploited to hostile takeover of governance.,Hostile takeover of governance,Borrowing tokens via flash-loan to pass proposal.
10,Governance capture,Governance capture Variant 10,Borrowed voting power,Delegates can re-route votes without limit,Governance capture variant #10: Borrowed voting power resulting from Delegates can re-route votes without limit. Exploited to attacker controls protocol.,Attacker controls protocol,Dominant whale forces upgrade to malicious contract.
11,Governance capture,Governance capture Variant 11,Token voting dominance,Flash-loan voting not blocked,Governance capture variant #11: Token voting dominance resulting from Flash-loan voting not blocked. Exploited to attacker controls protocol.,Attacker controls protocol,Borrowing tokens via flash-loan to pass proposal.
12,Governance capture,Governance capture Variant 12,Token voting dominance,Governance relies on raw token balance,Governance capture variant #12: Token voting dominance resulting from Governance relies on raw token balance. Exploited to forced malicious proposals.,Forced malicious proposals,Borrowing tokens via flash-loan to pass proposal.
13,Governance capture,Governance capture Variant 13,Borrowed voting power,No snapshot mechanism,Governance capture variant #13: Borrowed voting power resulting from No snapshot mechanism. Exploited to attacker controls protocol.,Attacker controls protocol,Borrowing tokens via flash-loan to pass proposal.
14,Governance capture,Governance capture Variant 14,Borrowed voting power,Delegates can re-route votes without limit,Governance capture variant #14: Borrowed voting power resulting from Delegates can re-route votes without limit. Exploited to attacker controls protocol.,Attacker controls protocol,Borrowing tokens via flash-loan to pass proposal.
15,Governance capture,Governance capture Variant 15,Delegation abuse,Delegates can re-route votes without limit,Governance capture variant #15: Delegation abuse resulting from Delegates can re-route votes without limit. Exploited to attacker controls protocol.,Attacker controls protocol,Dominant whale forces upgrade to malicious contract.
16,Governance capture,Governance capture Variant 16,Delegation abuse,Flash-loan voting not blocked,Governance capture variant #16: Delegation abuse resulting from Flash-loan voting not blocked. Exploited to forced malicious proposals.,Forced malicious proposals,Borrowing tokens via flash-loan to pass proposal.
17,Governance capture,Governance capture Variant 17,Whale proposal hijack,Flash-loan voting not blocked,Governance capture variant #17: Whale proposal hijack resulting from Flash-loan voting not blocked. Exploited to forced malicious proposals.,Forced malicious proposals,Borrowing tokens via flash-loan to pass proposal.
18,Governance capture,Governance capture Variant 18,Whale proposal hijack,Flash-loan voting not blocked,Governance capture variant #18: Whale proposal hijack resulting from Flash-loan voting not blocked. Exploited to hostile takeover of governance.,Hostile takeover of governance,Dominant whale forces upgrade to malicious contract.
19,Governance capture,Governance capture Variant 19,Flash-loan governance attack,Flash-loan voting not blocked,Governance capture variant #19: Flash-loan governance attack resulting from Flash-loan voting not blocked. Exploited to attacker controls protocol.,Attacker controls protocol,Dominant whale forces upgrade to malicious contract.
20,Governance capture,Governance capture Variant 20,Delegation abuse,Flash-loan voting not blocked,Governance capture variant #20: Delegation abuse resulting from Flash-loan voting not blocked. Exploited to attacker controls protocol.,Attacker controls protocol,Borrowing tokens via flash-loan to pass proposal.
21,Governance capture,Governance capture Variant 21,Token voting dominance,Governance relies on raw token balance,Governance capture variant #21: Token voting dominance resulting from Governance relies on raw token balance. Exploited to hostile takeover of governance.,Hostile takeover of governance,Dominant whale forces upgrade to malicious contract.
22,Governance capture,Governance capture Variant 22,Delegation abuse,Governance relies on raw token balance,Governance capture variant #22: Delegation abuse resulting from Governance relies on raw token balance. Exploited to forced malicious proposals.,Forced malicious proposals,Dominant whale forces upgrade to malicious contract.
23,Governance capture,Governance capture Variant 23,Delegation abuse,Delegates can re-route votes without limit,Governance capture variant #23: Delegation abuse resulting from Delegates can re-route votes without limit. Exploited to attacker controls protocol.,Attacker controls protocol,Borrowing tokens via flash-loan to pass proposal.
24,Governance capture,Governance capture Variant 24,Whale proposal hijack,No snapshot mechanism,Governance capture variant #24: Whale proposal hijack resulting from No snapshot mechanism. Exploited to hostile takeover of governance.,Hostile takeover of governance,Borrowing tokens via flash-loan to pass proposal.
25,Governance capture,Governance capture Variant 25,Delegation abuse,No snapshot mechanism,Governance capture variant #25: Delegation abuse resulting from No snapshot mechanism. Exploited to forced malicious proposals.,Forced malicious proposals,Borrowing tokens via flash-loan to pass proposal.
26,Governance capture,Governance capture Variant 26,Flash-loan governance attack,Delegates can re-route votes without limit,Governance capture variant #26: Flash-loan governance attack resulting from Delegates can re-route votes without limit. Exploited to attacker controls protocol.,Attacker controls protocol,Borrowing tokens via flash-loan to pass proposal.
27,Governance capture,Governance capture Variant 27,Token voting dominance,No snapshot mechanism,Governance capture variant #27: Token voting dominance resulting from No snapshot mechanism. Exploited to forced malicious proposals.,Forced malicious proposals,Borrowing tokens via flash-loan to pass proposal.
28,Governance capture,Governance capture Variant 28,Borrowed voting power,Delegates can re-route votes without limit,Governance capture variant #28: Borrowed voting power resulting from Delegates can re-route votes without limit. Exploited to forced malicious proposals.,Forced malicious proposals,Dominant whale forces upgrade to malicious contract.
