id,category,variant_name,type,pattern,scenario,impact,example
1,Reentrancy,Reentrancy Variant 1,Recursive fallback reentrancy,State updated after external call,Reentrancy variant #1: Recursive fallback reentrancy caused by State updated after external call. Exploited to draining rewards pool.,Draining rewards pool,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
2,Reentrancy,Reentrancy Variant 2,Single-function reentrancy,Recursive callback before mutation,Reentrancy variant #2: Single-function reentrancy caused by Recursive callback before mutation. Exploited to inflated share minting.,Inflated share minting,Attacker leverages ERC777 tokens to reenter before balance is updated.
3,Reentrancy,Reentrancy Variant 3,Single-function reentrancy,Multiple entry points sharing same state variable,Reentrancy variant #3: Single-function reentrancy caused by Multiple entry points sharing same state variable. Exploited to draining rewards pool.,Draining rewards pool,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
4,Reentrancy,Reentrancy Variant 4,Cross-contract reentrancy,State updated after external call,Reentrancy variant #4: Cross-contract reentrancy caused by State updated after external call. Exploited to bypassing access restrictions.,Bypassing access restrictions,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
5,Reentrancy,Reentrancy Variant 5,Recursive fallback reentrancy,Unsafe external call to attacker contract,Reentrancy variant #5: Recursive fallback reentrancy caused by Unsafe external call to attacker contract. Exploited to inflated share minting.,Inflated share minting,Attacker leverages ERC777 tokens to reenter before balance is updated.
6,Reentrancy,Reentrancy Variant 6,Reentrancy via delegatecall,Recursive callback before mutation,Reentrancy variant #6: Reentrancy via delegatecall caused by Recursive callback before mutation. Exploited to bypassing access restrictions.,Bypassing access restrictions,Attacker leverages ERC777 tokens to reenter before balance is updated.
7,Reentrancy,Reentrancy Variant 7,Cross-contract reentrancy,External call inside loop,Reentrancy variant #7: Cross-contract reentrancy caused by External call inside loop. Exploited to complete balance drain.,Complete balance drain,Vault sends tokens before decreasing attacker balance.
8,Reentrancy,Reentrancy Variant 8,Single-function reentrancy,Multiple entry points sharing same state variable,Reentrancy variant #8: Single-function reentrancy caused by Multiple entry points sharing same state variable. Exploited to bypassing access restrictions.,Bypassing access restrictions,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
9,Reentrancy,Reentrancy Variant 9,Withdraw-before-update reentrancy,Fallback invoked before state lock,Reentrancy variant #9: Withdraw-before-update reentrancy caused by Fallback invoked before state lock. Exploited to partial draining of pooled funds.,Partial draining of pooled funds,Attacker leverages ERC777 tokens to reenter before balance is updated.
10,Reentrancy,Reentrancy Variant 10,Single-function reentrancy,Fallback invoked before state lock,Reentrancy variant #10: Single-function reentrancy caused by Fallback invoked before state lock. Exploited to complete balance drain.,Complete balance drain,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
11,Reentrancy,Reentrancy Variant 11,Withdraw-before-update reentrancy,External call inside loop,Reentrancy variant #11: Withdraw-before-update reentrancy caused by External call inside loop. Exploited to inflated share minting.,Inflated share minting,Cross-function reentry from deposit() into withdraw().
12,Reentrancy,Reentrancy Variant 12,ERC777-hook reentrancy,External call inside loop,Reentrancy variant #12: ERC777-hook reentrancy caused by External call inside loop. Exploited to bypassing access restrictions.,Bypassing access restrictions,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
13,Reentrancy,Reentrancy Variant 13,Recursive fallback reentrancy,Recursive callback before mutation,Reentrancy variant #13: Recursive fallback reentrancy caused by Recursive callback before mutation. Exploited to unauthorized repeated withdrawals.,Unauthorized repeated withdrawals,Cross-function reentry from deposit() into withdraw().
14,Reentrancy,Reentrancy Variant 14,Pull-payment reentrancy,State updated after external call,Reentrancy variant #14: Pull-payment reentrancy caused by State updated after external call. Exploited to draining rewards pool.,Draining rewards pool,Cross-function reentry from deposit() into withdraw().
15,Reentrancy,Reentrancy Variant 15,Recursive fallback reentrancy,State updated after external call,Reentrancy variant #15: Recursive fallback reentrancy caused by State updated after external call. Exploited to inflated share minting.,Inflated share minting,Cross-function reentry from deposit() into withdraw().
16,Reentrancy,Reentrancy Variant 16,Withdraw-before-update reentrancy,Hooks triggered without control flow guard,Reentrancy variant #16: Withdraw-before-update reentrancy caused by Hooks triggered without control flow guard. Exploited to unauthorized repeated withdrawals.,Unauthorized repeated withdrawals,Cross-function reentry from deposit() into withdraw().
17,Reentrancy,Reentrancy Variant 17,Reentrancy via delegatecall,Recursive callback before mutation,Reentrancy variant #17: Reentrancy via delegatecall caused by Recursive callback before mutation. Exploited to complete balance drain.,Complete balance drain,Cross-function reentry from deposit() into withdraw().
18,Reentrancy,Reentrancy Variant 18,ERC777-hook reentrancy,State updated after external call,Reentrancy variant #18: ERC777-hook reentrancy caused by State updated after external call. Exploited to inflated share minting.,Inflated share minting,Vault sends tokens before decreasing attacker balance.
19,Reentrancy,Reentrancy Variant 19,ERC777-hook reentrancy,Multiple entry points sharing same state variable,Reentrancy variant #19: ERC777-hook reentrancy caused by Multiple entry points sharing same state variable. Exploited to inflated share minting.,Inflated share minting,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
20,Reentrancy,Reentrancy Variant 20,Withdraw-before-update reentrancy,Missing reentrancy guard,Reentrancy variant #20: Withdraw-before-update reentrancy caused by Missing reentrancy guard. Exploited to inflated share minting.,Inflated share minting,Attacker leverages ERC777 tokens to reenter before balance is updated.
21,Reentrancy,Reentrancy Variant 21,Pull-payment reentrancy,Fallback invoked before state lock,Reentrancy variant #21: Pull-payment reentrancy caused by Fallback invoked before state lock. Exploited to draining rewards pool.,Draining rewards pool,Vault sends tokens before decreasing attacker balance.
22,Reentrancy,Reentrancy Variant 22,Pull-payment reentrancy,Missing reentrancy guard,Reentrancy variant #22: Pull-payment reentrancy caused by Missing reentrancy guard. Exploited to bypassing access restrictions.,Bypassing access restrictions,Attacker leverages ERC777 tokens to reenter before balance is updated.
23,Reentrancy,Reentrancy Variant 23,ERC777-hook reentrancy,State updated after external call,Reentrancy variant #23: ERC777-hook reentrancy caused by State updated after external call. Exploited to bypassing access restrictions.,Bypassing access restrictions,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
24,Reentrancy,Reentrancy Variant 24,ERC777-hook reentrancy,Recursive callback before mutation,Reentrancy variant #24: ERC777-hook reentrancy caused by Recursive callback before mutation. Exploited to unauthorized repeated withdrawals.,Unauthorized repeated withdrawals,Attacker leverages ERC777 tokens to reenter before balance is updated.
25,Reentrancy,Reentrancy Variant 25,Recursive fallback reentrancy,External call inside loop,Reentrancy variant #25: Recursive fallback reentrancy caused by External call inside loop. Exploited to complete balance drain.,Complete balance drain,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
