id,category,variant_name,type,pattern,scenario,impact,example
1,Blind signing,Blind signing Variant 1,Fake domain signature,Signature request hides spender,Blind signing variant #1: Fake domain signature caused by Signature request hides spender. Exploited to full token drain.,Full token drain,Popup shows no spender → spender is malicious contract.
2,Blind signing,Blind signing Variant 2,Blind EIP‑191 signing,App bypasses domain separator,Blind signing variant #2: Blind EIP‑191 signing caused by App bypasses domain separator. Exploited to unauthorized asset transfer.,Unauthorized asset transfer,User signs meaningless hex→ attacker drains ERC20.
3,Blind signing,Blind signing Variant 3,Hidden function selector,App bypasses domain separator,Blind signing variant #3: Hidden function selector caused by App bypasses domain separator. Exploited to unauthorized asset transfer.,Unauthorized asset transfer,User signs meaningless hex→ attacker drains ERC20.
4,Blind signing,Blind signing Variant 4,Blind EIP‑191 signing,App bypasses domain separator,Blind signing variant #4: Blind EIP‑191 signing caused by App bypasses domain separator. Exploited to approval to attacker.,Approval to attacker,Popup shows no spender → spender is malicious contract.
5,Blind signing,Blind signing Variant 5,Fake domain signature,Signature request hides spender,Blind signing variant #5: Fake domain signature caused by Signature request hides spender. Exploited to approval to attacker.,Approval to attacker,Popup shows no spender → spender is malicious contract.
6,Blind signing,Blind signing Variant 6,Unsigned data trick,User signs opaque hex data,Blind signing variant #6: Unsigned data trick caused by User signs opaque hex data. Exploited to full token drain.,Full token drain,Popup shows no spender → spender is malicious contract.
7,Blind signing,Blind signing Variant 7,Fake domain signature,Wallet does not preview transaction meaning,Blind signing variant #7: Fake domain signature caused by Wallet does not preview transaction meaning. Exploited to full token drain.,Full token drain,User signs meaningless hex→ attacker drains ERC20.
8,Blind signing,Blind signing Variant 8,Unsigned data trick,User signs opaque hex data,Blind signing variant #8: Unsigned data trick caused by User signs opaque hex data. Exploited to approval to attacker.,Approval to attacker,Popup shows no spender → spender is malicious contract.
9,Blind signing,Blind signing Variant 9,Hidden function selector,Signature request hides spender,Blind signing variant #9: Hidden function selector caused by Signature request hides spender. Exploited to unauthorized asset transfer.,Unauthorized asset transfer,User signs meaningless hex→ attacker drains ERC20.
10,Blind signing,Blind signing Variant 10,Hidden function selector,User signs opaque hex data,Blind signing variant #10: Hidden function selector caused by User signs opaque hex data. Exploited to full token drain.,Full token drain,Popup shows no spender → spender is malicious contract.
11,Blind signing,Blind signing Variant 11,Hex payload deception,App bypasses domain separator,Blind signing variant #11: Hex payload deception caused by App bypasses domain separator. Exploited to full token drain.,Full token drain,Popup shows no spender → spender is malicious contract.
12,Blind signing,Blind signing Variant 12,Hidden function selector,Signature request hides spender,Blind signing variant #12: Hidden function selector caused by Signature request hides spender. Exploited to full token drain.,Full token drain,Popup shows no spender → spender is malicious contract.
13,Blind signing,Blind signing Variant 13,Unsigned data trick,User signs opaque hex data,Blind signing variant #13: Unsigned data trick caused by User signs opaque hex data. Exploited to full token drain.,Full token drain,User signs meaningless hex→ attacker drains ERC20.
14,Blind signing,Blind signing Variant 14,Blind EIP‑191 signing,Wallet does not preview transaction meaning,Blind signing variant #14: Blind EIP‑191 signing caused by Wallet does not preview transaction meaning. Exploited to unauthorized asset transfer.,Unauthorized asset transfer,User signs meaningless hex→ attacker drains ERC20.
15,Blind signing,Blind signing Variant 15,Hidden function selector,User signs opaque hex data,Blind signing variant #15: Hidden function selector caused by User signs opaque hex data. Exploited to unauthorized asset transfer.,Unauthorized asset transfer,User signs meaningless hex→ attacker drains ERC20.
16,Blind signing,Blind signing Variant 16,Fake domain signature,App bypasses domain separator,Blind signing variant #16: Fake domain signature caused by App bypasses domain separator. Exploited to approval to attacker.,Approval to attacker,Popup shows no spender → spender is malicious contract.
17,Blind signing,Blind signing Variant 17,Hex payload deception,User signs opaque hex data,Blind signing variant #17: Hex payload deception caused by User signs opaque hex data. Exploited to unauthorized asset transfer.,Unauthorized asset transfer,Popup shows no spender → spender is malicious contract.
