id,category,variant_name,type,pattern,scenario,impact,example
1,Oracle manipulation,Oracle manipulation Variant 1,Low liquidity spot manipulation,Attacker inflates reserve ratio,Oracle manipulation variant #1: Low liquidity spot manipulation caused by Attacker inflates reserve ratio. Exploited to price skew for profit.,Price skew for profit,Flash-loan attack inflating TWAP for one block.
2,Oracle manipulation,Oracle manipulation Variant 2,Stale oracle data exploit,Attacker inflates reserve ratio,Oracle manipulation variant #2: Stale oracle data exploit caused by Attacker inflates reserve ratio. Exploited to price skew for profit.,Price skew for profit,Manipulating price via a shallow Uniswap pool.
3,Oracle manipulation,Oracle manipulation Variant 3,Flash-loan oracle distortion,Oracle not updated frequently,Oracle manipulation variant #3: Flash-loan oracle distortion caused by Oracle not updated frequently. Exploited to liquidation at wrong prices.,Liquidation at wrong prices,Oracle using outdated Chainlink round.
4,Oracle manipulation,Oracle manipulation Variant 4,TWAP manipulation,Oracle not updated frequently,Oracle manipulation variant #4: TWAP manipulation caused by Oracle not updated frequently. Exploited to free minting or withdrawal.,Free minting or withdrawal,Oracle using outdated Chainlink round.
5,Oracle manipulation,Oracle manipulation Variant 5,Low liquidity spot manipulation,Attacker inflates reserve ratio,Oracle manipulation variant #5: Low liquidity spot manipulation caused by Attacker inflates reserve ratio. Exploited to price skew for profit.,Price skew for profit,Oracle using outdated Chainlink round.
6,Oracle manipulation,Oracle manipulation Variant 6,TWAP manipulation,Attacker inflates reserve ratio,Oracle manipulation variant #6: TWAP manipulation caused by Attacker inflates reserve ratio. Exploited to price skew for profit.,Price skew for profit,Flash-loan attack inflating TWAP for one block.
7,Oracle manipulation,Oracle manipulation Variant 7,Single price source attack,Oracle uses a single DEX pair,Oracle manipulation variant #7: Single price source attack caused by Oracle uses a single DEX pair. Exploited to price skew for profit.,Price skew for profit,Manipulating price via a shallow Uniswap pool.
8,Oracle manipulation,Oracle manipulation Variant 8,TWAP manipulation,Off-chain oracle not validated,Oracle manipulation variant #8: TWAP manipulation caused by Off-chain oracle not validated. Exploited to price skew for profit.,Price skew for profit,Manipulating price via a shallow Uniswap pool.
9,Oracle manipulation,Oracle manipulation Variant 9,TWAP manipulation,Attacker inflates reserve ratio,Oracle manipulation variant #9: TWAP manipulation caused by Attacker inflates reserve ratio. Exploited to price skew for profit.,Price skew for profit,Flash-loan attack inflating TWAP for one block.
10,Oracle manipulation,Oracle manipulation Variant 10,Flash-loan oracle distortion,Attacker inflates reserve ratio,Oracle manipulation variant #10: Flash-loan oracle distortion caused by Attacker inflates reserve ratio. Exploited to free minting or withdrawal.,Free minting or withdrawal,Flash-loan attack inflating TWAP for one block.
11,Oracle manipulation,Oracle manipulation Variant 11,Single price source attack,Oracle uses a single DEX pair,Oracle manipulation variant #11: Single price source attack caused by Oracle uses a single DEX pair. Exploited to borrowing more than allowed.,Borrowing more than allowed,Flash-loan attack inflating TWAP for one block.
12,Oracle manipulation,Oracle manipulation Variant 12,Low liquidity spot manipulation,TWAP window too short,Oracle manipulation variant #12: Low liquidity spot manipulation caused by TWAP window too short. Exploited to liquidation at wrong prices.,Liquidation at wrong prices,Flash-loan attack inflating TWAP for one block.
13,Oracle manipulation,Oracle manipulation Variant 13,Low liquidity spot manipulation,Attacker inflates reserve ratio,Oracle manipulation variant #13: Low liquidity spot manipulation caused by Attacker inflates reserve ratio. Exploited to price skew for profit.,Price skew for profit,Oracle using outdated Chainlink round.
14,Oracle manipulation,Oracle manipulation Variant 14,Flash-loan oracle distortion,Oracle uses a single DEX pair,Oracle manipulation variant #14: Flash-loan oracle distortion caused by Oracle uses a single DEX pair. Exploited to borrowing more than allowed.,Borrowing more than allowed,Oracle using outdated Chainlink round.
15,Oracle manipulation,Oracle manipulation Variant 15,Low liquidity spot manipulation,TWAP window too short,Oracle manipulation variant #15: Low liquidity spot manipulation caused by TWAP window too short. Exploited to free minting or withdrawal.,Free minting or withdrawal,Oracle using outdated Chainlink round.
16,Oracle manipulation,Oracle manipulation Variant 16,Low liquidity spot manipulation,Oracle not updated frequently,Oracle manipulation variant #16: Low liquidity spot manipulation caused by Oracle not updated frequently. Exploited to free minting or withdrawal.,Free minting or withdrawal,Flash-loan attack inflating TWAP for one block.
17,Oracle manipulation,Oracle manipulation Variant 17,Flash-loan oracle distortion,Attacker inflates reserve ratio,Oracle manipulation variant #17: Flash-loan oracle distortion caused by Attacker inflates reserve ratio. Exploited to price skew for profit.,Price skew for profit,Flash-loan attack inflating TWAP for one block.
18,Oracle manipulation,Oracle manipulation Variant 18,Stale oracle data exploit,TWAP window too short,Oracle manipulation variant #18: Stale oracle data exploit caused by TWAP window too short. Exploited to price skew for profit.,Price skew for profit,Oracle using outdated Chainlink round.
19,Oracle manipulation,Oracle manipulation Variant 19,Stale oracle data exploit,Attacker inflates reserve ratio,Oracle manipulation variant #19: Stale oracle data exploit caused by Attacker inflates reserve ratio. Exploited to liquidation at wrong prices.,Liquidation at wrong prices,Oracle using outdated Chainlink round.
20,Oracle manipulation,Oracle manipulation Variant 20,Flash-loan oracle distortion,Oracle not updated frequently,Oracle manipulation variant #20: Flash-loan oracle distortion caused by Oracle not updated frequently. Exploited to borrowing more than allowed.,Borrowing more than allowed,Oracle using outdated Chainlink round.
21,Oracle manipulation,Oracle manipulation Variant 21,Single price source attack,Oracle uses a single DEX pair,Oracle manipulation variant #21: Single price source attack caused by Oracle uses a single DEX pair. Exploited to free minting or withdrawal.,Free minting or withdrawal,Manipulating price via a shallow Uniswap pool.
22,Oracle manipulation,Oracle manipulation Variant 22,Flash-loan oracle distortion,Attacker inflates reserve ratio,Oracle manipulation variant #22: Flash-loan oracle distortion caused by Attacker inflates reserve ratio. Exploited to borrowing more than allowed.,Borrowing more than allowed,Flash-loan attack inflating TWAP for one block.
23,Oracle manipulation,Oracle manipulation Variant 23,Flash-loan oracle distortion,TWAP window too short,Oracle manipulation variant #23: Flash-loan oracle distortion caused by TWAP window too short. Exploited to price skew for profit.,Price skew for profit,Oracle using outdated Chainlink round.
24,Oracle manipulation,Oracle manipulation Variant 24,Single price source attack,TWAP window too short,Oracle manipulation variant #24: Single price source attack caused by TWAP window too short. Exploited to liquidation at wrong prices.,Liquidation at wrong prices,Flash-loan attack inflating TWAP for one block.
25,Oracle manipulation,Oracle manipulation Variant 25,Low liquidity spot manipulation,Attacker inflates reserve ratio,Oracle manipulation variant #25: Low liquidity spot manipulation caused by Attacker inflates reserve ratio. Exploited to price skew for profit.,Price skew for profit,Oracle using outdated Chainlink round.
26,Oracle manipulation,Oracle manipulation Variant 26,TWAP manipulation,TWAP window too short,Oracle manipulation variant #26: TWAP manipulation caused by TWAP window too short. Exploited to free minting or withdrawal.,Free minting or withdrawal,Flash-loan attack inflating TWAP for one block.
27,Oracle manipulation,Oracle manipulation Variant 27,Flash-loan oracle distortion,TWAP window too short,Oracle manipulation variant #27: Flash-loan oracle distortion caused by TWAP window too short. Exploited to borrowing more than allowed.,Borrowing more than allowed,Flash-loan attack inflating TWAP for one block.
28,Oracle manipulation,Oracle manipulation Variant 28,Single price source attack,Oracle not updated frequently,Oracle manipulation variant #28: Single price source attack caused by Oracle not updated frequently. Exploited to liquidation at wrong prices.,Liquidation at wrong prices,Manipulating price via a shallow Uniswap pool.
29,Oracle manipulation,Oracle manipulation Variant 29,Stale oracle data exploit,Attacker inflates reserve ratio,Oracle manipulation variant #29: Stale oracle data exploit caused by Attacker inflates reserve ratio. Exploited to price skew for profit.,Price skew for profit,Flash-loan attack inflating TWAP for one block.
30,Oracle manipulation,Oracle manipulation Variant 30,TWAP manipulation,Oracle uses a single DEX pair,Oracle manipulation variant #30: TWAP manipulation caused by Oracle uses a single DEX pair. Exploited to borrowing more than allowed.,Borrowing more than allowed,Manipulating price via a shallow Uniswap pool.
31,Oracle manipulation,Oracle manipulation Variant 31,Low liquidity spot manipulation,Attacker inflates reserve ratio,Oracle manipulation variant #31: Low liquidity spot manipulation caused by Attacker inflates reserve ratio. Exploited to liquidation at wrong prices.,Liquidation at wrong prices,Manipulating price via a shallow Uniswap pool.
32,Oracle manipulation,Oracle manipulation Variant 32,Single price source attack,TWAP window too short,Oracle manipulation variant #32: Single price source attack caused by TWAP window too short. Exploited to borrowing more than allowed.,Borrowing more than allowed,Oracle using outdated Chainlink round.
