id,category,variant_name,type,pattern,scenario,impact,example
1,JSON-RPC validation failure,JSON-RPC validation failure Variant 1,Malformed payload,RPC server does not validate JSON schema,JSON-RPC validation failure variant #1: Malformed payload caused by RPC server does not validate JSON schema. Exploited to remote code execution vector.,Remote code execution vector,Malformed eth_call payload bypasses validation.
2,JSON-RPC validation failure,JSON-RPC validation failure Variant 2,Invalid method selector,RPC server does not validate JSON schema,JSON-RPC validation failure variant #2: Invalid method selector caused by RPC server does not validate JSON schema. Exploited to incorrect transaction propagation.,Incorrect transaction propagation,Malformed eth_call payload bypasses validation.
3,JSON-RPC validation failure,JSON-RPC validation failure Variant 3,Truncated JSON injection,No check on array sizes,JSON-RPC validation failure variant #3: Truncated JSON injection caused by No check on array sizes. Exploited to memory exhaustion.,Memory exhaustion,Sending 50MB JSON body to exhaust RPC memory.
4,JSON-RPC validation failure,JSON-RPC validation failure Variant 4,Truncated JSON injection,Missing length limit on POST body,JSON-RPC validation failure variant #4: Truncated JSON injection caused by Missing length limit on POST body. Exploited to memory exhaustion.,Memory exhaustion,Malformed eth_call payload bypasses validation.
5,JSON-RPC validation failure,JSON-RPC validation failure Variant 5,Malformed payload,No check on array sizes,JSON-RPC validation failure variant #5: Malformed payload caused by No check on array sizes. Exploited to incorrect transaction propagation.,Incorrect transaction propagation,Sending 50MB JSON body to exhaust RPC memory.
6,JSON-RPC validation failure,JSON-RPC validation failure Variant 6,Missing parameter type check,Missing length limit on POST body,JSON-RPC validation failure variant #6: Missing parameter type check caused by Missing length limit on POST body. Exploited to incorrect transaction propagation.,Incorrect transaction propagation,Malformed eth_call payload bypasses validation.
7,JSON-RPC validation failure,JSON-RPC validation failure Variant 7,Oversized request body,RPC server does not validate JSON schema,JSON-RPC validation failure variant #7: Oversized request body caused by RPC server does not validate JSON schema. Exploited to incorrect transaction propagation.,Incorrect transaction propagation,Malformed eth_call payload bypasses validation.
8,JSON-RPC validation failure,JSON-RPC validation failure Variant 8,Malformed payload,RPC server does not validate JSON schema,JSON-RPC validation failure variant #8: Malformed payload caused by RPC server does not validate JSON schema. Exploited to node crash.,Node crash,Malformed eth_call payload bypasses validation.
9,JSON-RPC validation failure,JSON-RPC validation failure Variant 9,Oversized request body,RPC server does not validate JSON schema,JSON-RPC validation failure variant #9: Oversized request body caused by RPC server does not validate JSON schema. Exploited to incorrect transaction propagation.,Incorrect transaction propagation,Malformed eth_call payload bypasses validation.
10,JSON-RPC validation failure,JSON-RPC validation failure Variant 10,Truncated JSON injection,No check on array sizes,JSON-RPC validation failure variant #10: Truncated JSON injection caused by No check on array sizes. Exploited to node crash.,Node crash,Sending 50MB JSON body to exhaust RPC memory.
11,JSON-RPC validation failure,JSON-RPC validation failure Variant 11,Missing parameter type check,No check on array sizes,JSON-RPC validation failure variant #11: Missing parameter type check caused by No check on array sizes. Exploited to incorrect transaction propagation.,Incorrect transaction propagation,Malformed eth_call payload bypasses validation.
12,JSON-RPC validation failure,JSON-RPC validation failure Variant 12,Invalid method selector,Missing length limit on POST body,JSON-RPC validation failure variant #12: Invalid method selector caused by Missing length limit on POST body. Exploited to memory exhaustion.,Memory exhaustion,Sending 50MB JSON body to exhaust RPC memory.
13,JSON-RPC validation failure,JSON-RPC validation failure Variant 13,Oversized request body,No check on array sizes,JSON-RPC validation failure variant #13: Oversized request body caused by No check on array sizes. Exploited to node crash.,Node crash,Malformed eth_call payload bypasses validation.
14,JSON-RPC validation failure,JSON-RPC validation failure Variant 14,Malformed payload,Node accepts invalid hex payload,JSON-RPC validation failure variant #14: Malformed payload caused by Node accepts invalid hex payload. Exploited to node crash.,Node crash,Malformed eth_call payload bypasses validation.
15,JSON-RPC validation failure,JSON-RPC validation failure Variant 15,Missing parameter type check,No check on array sizes,JSON-RPC validation failure variant #15: Missing parameter type check caused by No check on array sizes. Exploited to memory exhaustion.,Memory exhaustion,Sending 50MB JSON body to exhaust RPC memory.
16,JSON-RPC validation failure,JSON-RPC validation failure Variant 16,Missing parameter type check,Missing length limit on POST body,JSON-RPC validation failure variant #16: Missing parameter type check caused by Missing length limit on POST body. Exploited to node crash.,Node crash,Malformed eth_call payload bypasses validation.
17,JSON-RPC validation failure,JSON-RPC validation failure Variant 17,Missing parameter type check,No check on array sizes,JSON-RPC validation failure variant #17: Missing parameter type check caused by No check on array sizes. Exploited to incorrect transaction propagation.,Incorrect transaction propagation,Malformed eth_call payload bypasses validation.
18,JSON-RPC validation failure,JSON-RPC validation failure Variant 18,Invalid method selector,Missing length limit on POST body,JSON-RPC validation failure variant #18: Invalid method selector caused by Missing length limit on POST body. Exploited to node crash.,Node crash,Sending 50MB JSON body to exhaust RPC memory.
19,JSON-RPC validation failure,JSON-RPC validation failure Variant 19,Invalid method selector,RPC server does not validate JSON schema,JSON-RPC validation failure variant #19: Invalid method selector caused by RPC server does not validate JSON schema. Exploited to node crash.,Node crash,Sending 50MB JSON body to exhaust RPC memory.
20,JSON-RPC validation failure,JSON-RPC validation failure Variant 20,Truncated JSON injection,Node accepts invalid hex payload,JSON-RPC validation failure variant #20: Truncated JSON injection caused by Node accepts invalid hex payload. Exploited to memory exhaustion.,Memory exhaustion,Sending 50MB JSON body to exhaust RPC memory.
21,JSON-RPC validation failure,JSON-RPC validation failure Variant 21,Invalid method selector,No check on array sizes,JSON-RPC validation failure variant #21: Invalid method selector caused by No check on array sizes. Exploited to node crash.,Node crash,Sending 50MB JSON body to exhaust RPC memory.
22,JSON-RPC validation failure,JSON-RPC validation failure Variant 22,Malformed payload,Missing length limit on POST body,JSON-RPC validation failure variant #22: Malformed payload caused by Missing length limit on POST body. Exploited to remote code execution vector.,Remote code execution vector,Malformed eth_call payload bypasses validation.
23,JSON-RPC validation failure,JSON-RPC validation failure Variant 23,Invalid method selector,Node accepts invalid hex payload,JSON-RPC validation failure variant #23: Invalid method selector caused by Node accepts invalid hex payload. Exploited to memory exhaustion.,Memory exhaustion,Malformed eth_call payload bypasses validation.
24,JSON-RPC validation failure,JSON-RPC validation failure Variant 24,Missing parameter type check,RPC server does not validate JSON schema,JSON-RPC validation failure variant #24: Missing parameter type check caused by RPC server does not validate JSON schema. Exploited to memory exhaustion.,Memory exhaustion,Sending 50MB JSON body to exhaust RPC memory.
25,JSON-RPC validation failure,JSON-RPC validation failure Variant 25,Invalid method selector,Node accepts invalid hex payload,JSON-RPC validation failure variant #25: Invalid method selector caused by Node accepts invalid hex payload. Exploited to node crash.,Node crash,Sending 50MB JSON body to exhaust RPC memory.
26,JSON-RPC validation failure,JSON-RPC validation failure Variant 26,Truncated JSON injection,Node accepts invalid hex payload,JSON-RPC validation failure variant #26: Truncated JSON injection caused by Node accepts invalid hex payload. Exploited to memory exhaustion.,Memory exhaustion,Sending 50MB JSON body to exhaust RPC memory.
27,JSON-RPC validation failure,JSON-RPC validation failure Variant 27,Invalid method selector,No check on array sizes,JSON-RPC validation failure variant #27: Invalid method selector caused by No check on array sizes. Exploited to memory exhaustion.,Memory exhaustion,Malformed eth_call payload bypasses validation.
28,JSON-RPC validation failure,JSON-RPC validation failure Variant 28,Oversized request body,RPC server does not validate JSON schema,JSON-RPC validation failure variant #28: Oversized request body caused by RPC server does not validate JSON schema. Exploited to incorrect transaction propagation.,Incorrect transaction propagation,Malformed eth_call payload bypasses validation.
29,JSON-RPC validation failure,JSON-RPC validation failure Variant 29,Oversized request body,Missing length limit on POST body,JSON-RPC validation failure variant #29: Oversized request body caused by Missing length limit on POST body. Exploited to remote code execution vector.,Remote code execution vector,Malformed eth_call payload bypasses validation.
30,JSON-RPC validation failure,JSON-RPC validation failure Variant 30,Missing parameter type check,Node accepts invalid hex payload,JSON-RPC validation failure variant #30: Missing parameter type check caused by Node accepts invalid hex payload. Exploited to remote code execution vector.,Remote code execution vector,Malformed eth_call payload bypasses validation.
31,JSON-RPC validation failure,JSON-RPC validation failure Variant 31,Truncated JSON injection,Node accepts invalid hex payload,JSON-RPC validation failure variant #31: Truncated JSON injection caused by Node accepts invalid hex payload. Exploited to incorrect transaction propagation.,Incorrect transaction propagation,Sending 50MB JSON body to exhaust RPC memory.
32,JSON-RPC validation failure,JSON-RPC validation failure Variant 32,Invalid method selector,Missing length limit on POST body,JSON-RPC validation failure variant #32: Invalid method selector caused by Missing length limit on POST body. Exploited to node crash.,Node crash,Malformed eth_call payload bypasses validation.
33,JSON-RPC validation failure,JSON-RPC validation failure Variant 33,Oversized request body,Node accepts invalid hex payload,JSON-RPC validation failure variant #33: Oversized request body caused by Node accepts invalid hex payload. Exploited to remote code execution vector.,Remote code execution vector,Malformed eth_call payload bypasses validation.
34,JSON-RPC validation failure,JSON-RPC validation failure Variant 34,Missing parameter type check,No check on array sizes,JSON-RPC validation failure variant #34: Missing parameter type check caused by No check on array sizes. Exploited to remote code execution vector.,Remote code execution vector,Sending 50MB JSON body to exhaust RPC memory.
35,JSON-RPC validation failure,JSON-RPC validation failure Variant 35,Oversized request body,Node accepts invalid hex payload,JSON-RPC validation failure variant #35: Oversized request body caused by Node accepts invalid hex payload. Exploited to node crash.,Node crash,Malformed eth_call payload bypasses validation.
36,JSON-RPC validation failure,JSON-RPC validation failure Variant 36,Truncated JSON injection,No check on array sizes,JSON-RPC validation failure variant #36: Truncated JSON injection caused by No check on array sizes. Exploited to remote code execution vector.,Remote code execution vector,Sending 50MB JSON body to exhaust RPC memory.
37,JSON-RPC validation failure,JSON-RPC validation failure Variant 37,Missing parameter type check,No check on array sizes,JSON-RPC validation failure variant #37: Missing parameter type check caused by No check on array sizes. Exploited to memory exhaustion.,Memory exhaustion,Malformed eth_call payload bypasses validation.
38,JSON-RPC validation failure,JSON-RPC validation failure Variant 38,Invalid method selector,No check on array sizes,JSON-RPC validation failure variant #38: Invalid method selector caused by No check on array sizes. Exploited to memory exhaustion.,Memory exhaustion,Malformed eth_call payload bypasses validation.
39,JSON-RPC validation failure,JSON-RPC validation failure Variant 39,Malformed payload,Node accepts invalid hex payload,JSON-RPC validation failure variant #39: Malformed payload caused by Node accepts invalid hex payload. Exploited to remote code execution vector.,Remote code execution vector,Malformed eth_call payload bypasses validation.
40,JSON-RPC validation failure,JSON-RPC validation failure Variant 40,Invalid method selector,Node accepts invalid hex payload,JSON-RPC validation failure variant #40: Invalid method selector caused by Node accepts invalid hex payload. Exploited to memory exhaustion.,Memory exhaustion,Sending 50MB JSON body to exhaust RPC memory.
41,JSON-RPC validation failure,JSON-RPC validation failure Variant 41,Invalid method selector,Missing length limit on POST body,JSON-RPC validation failure variant #41: Invalid method selector caused by Missing length limit on POST body. Exploited to remote code execution vector.,Remote code execution vector,Malformed eth_call payload bypasses validation.
42,JSON-RPC validation failure,JSON-RPC validation failure Variant 42,Invalid method selector,No check on array sizes,JSON-RPC validation failure variant #42: Invalid method selector caused by No check on array sizes. Exploited to incorrect transaction propagation.,Incorrect transaction propagation,Sending 50MB JSON body to exhaust RPC memory.
43,JSON-RPC validation failure,JSON-RPC validation failure Variant 43,Invalid method selector,No check on array sizes,JSON-RPC validation failure variant #43: Invalid method selector caused by No check on array sizes. Exploited to node crash.,Node crash,Malformed eth_call payload bypasses validation.
44,JSON-RPC validation failure,JSON-RPC validation failure Variant 44,Truncated JSON injection,Node accepts invalid hex payload,JSON-RPC validation failure variant #44: Truncated JSON injection caused by Node accepts invalid hex payload. Exploited to node crash.,Node crash,Malformed eth_call payload bypasses validation.
45,JSON-RPC validation failure,JSON-RPC validation failure Variant 45,Invalid method selector,RPC server does not validate JSON schema,JSON-RPC validation failure variant #45: Invalid method selector caused by RPC server does not validate JSON schema. Exploited to remote code execution vector.,Remote code execution vector,Malformed eth_call payload bypasses validation.
46,JSON-RPC validation failure,JSON-RPC validation failure Variant 46,Oversized request body,Node accepts invalid hex payload,JSON-RPC validation failure variant #46: Oversized request body caused by Node accepts invalid hex payload. Exploited to node crash.,Node crash,Sending 50MB JSON body to exhaust RPC memory.
47,JSON-RPC validation failure,JSON-RPC validation failure Variant 47,Oversized request body,Node accepts invalid hex payload,JSON-RPC validation failure variant #47: Oversized request body caused by Node accepts invalid hex payload. Exploited to node crash.,Node crash,Malformed eth_call payload bypasses validation.
48,JSON-RPC validation failure,JSON-RPC validation failure Variant 48,Malformed payload,Node accepts invalid hex payload,JSON-RPC validation failure variant #48: Malformed payload caused by Node accepts invalid hex payload. Exploited to memory exhaustion.,Memory exhaustion,Sending 50MB JSON body to exhaust RPC memory.
49,JSON-RPC validation failure,JSON-RPC validation failure Variant 49,Invalid method selector,Node accepts invalid hex payload,JSON-RPC validation failure variant #49: Invalid method selector caused by Node accepts invalid hex payload. Exploited to node crash.,Node crash,Sending 50MB JSON body to exhaust RPC memory.
50,JSON-RPC validation failure,JSON-RPC validation failure Variant 50,Missing parameter type check,Node accepts invalid hex payload,JSON-RPC validation failure variant #50: Missing parameter type check caused by Node accepts invalid hex payload. Exploited to memory exhaustion.,Memory exhaustion,Malformed eth_call payload bypasses validation.
51,JSON-RPC validation failure,JSON-RPC validation failure Variant 51,Missing parameter type check,No check on array sizes,JSON-RPC validation failure variant #51: Missing parameter type check caused by No check on array sizes. Exploited to memory exhaustion.,Memory exhaustion,Sending 50MB JSON body to exhaust RPC memory.
52,JSON-RPC validation failure,JSON-RPC validation failure Variant 52,Missing parameter type check,Node accepts invalid hex payload,JSON-RPC validation failure variant #52: Missing parameter type check caused by Node accepts invalid hex payload. Exploited to remote code execution vector.,Remote code execution vector,Sending 50MB JSON body to exhaust RPC memory.
53,JSON-RPC validation failure,JSON-RPC validation failure Variant 53,Missing parameter type check,RPC server does not validate JSON schema,JSON-RPC validation failure variant #53: Missing parameter type check caused by RPC server does not validate JSON schema. Exploited to memory exhaustion.,Memory exhaustion,Malformed eth_call payload bypasses validation.
54,JSON-RPC validation failure,JSON-RPC validation failure Variant 54,Truncated JSON injection,RPC server does not validate JSON schema,JSON-RPC validation failure variant #54: Truncated JSON injection caused by RPC server does not validate JSON schema. Exploited to memory exhaustion.,Memory exhaustion,Sending 50MB JSON body to exhaust RPC memory.
55,JSON-RPC validation failure,JSON-RPC validation failure Variant 55,Missing parameter type check,RPC server does not validate JSON schema,JSON-RPC validation failure variant #55: Missing parameter type check caused by RPC server does not validate JSON schema. Exploited to node crash.,Node crash,Sending 50MB JSON body to exhaust RPC memory.
56,JSON-RPC validation failure,JSON-RPC validation failure Variant 56,Malformed payload,Node accepts invalid hex payload,JSON-RPC validation failure variant #56: Malformed payload caused by Node accepts invalid hex payload. Exploited to remote code execution vector.,Remote code execution vector,Sending 50MB JSON body to exhaust RPC memory.
57,JSON-RPC validation failure,JSON-RPC validation failure Variant 57,Oversized request body,RPC server does not validate JSON schema,JSON-RPC validation failure variant #57: Oversized request body caused by RPC server does not validate JSON schema. Exploited to memory exhaustion.,Memory exhaustion,Malformed eth_call payload bypasses validation.
58,JSON-RPC validation failure,JSON-RPC validation failure Variant 58,Missing parameter type check,RPC server does not validate JSON schema,JSON-RPC validation failure variant #58: Missing parameter type check caused by RPC server does not validate JSON schema. Exploited to node crash.,Node crash,Sending 50MB JSON body to exhaust RPC memory.
59,JSON-RPC validation failure,JSON-RPC validation failure Variant 59,Malformed payload,RPC server does not validate JSON schema,JSON-RPC validation failure variant #59: Malformed payload caused by RPC server does not validate JSON schema. Exploited to memory exhaustion.,Memory exhaustion,Sending 50MB JSON body to exhaust RPC memory.
